iter	RMSE
0	8.474260969
1	8.222196293
2	7.963360826
3	7.725716509
4	7.508271535
5	7.301721156
6	7.087951844
7	6.888886086
8	6.698170359
9	6.51237192
10	6.336347555
11	6.163676851
12	6.002984145
13	5.850014299
14	5.701081837
15	5.550395455
16	5.398505608
17	5.259561437
18	5.12928167
19	5.01083342
20	4.89062812
21	4.77839545
22	4.673227735
23	4.5681027
24	4.484452449
25	4.377983466
26	4.273662606
27	4.189219032
28	4.106048284
29	4.029250793
30	3.950352728
31	3.870789794
32	3.796515921
33	3.727202668
34	3.661422993
35	3.600307127
36	3.54078177
37	3.47717581
38	3.419100593
39	3.364563384
40	3.316398589
41	3.266181322
42	3.216934135
43	3.170533859
44	3.129154577
45	3.087471964
46	3.046571545
47	3.006287092
48	2.969438255
49	2.937450494
50	2.907541892
51	2.876458728
52	2.840239796
53	2.8084618
54	2.779308092
55	2.756930355
56	2.726234783
57	2.702558275
58	2.676686566
59	2.651708397
60	2.633772741
61	2.614717301
62	2.59272192
63	2.566834971
64	2.538411517
65	2.51570072
66	2.499177289
67	2.483503758
68	2.463089577
69	2.444920972
70	2.429455312
71	2.411925254
72	2.395841135
73	2.380225397
74	2.364733019
75	2.343768672
76	2.329521256
77	2.315675855
78	2.299288992
79	2.287685808
80	2.276323776
81	2.267718848
82	2.256117704
83	2.244927512
84	2.232531108
85	2.222856584
86	2.210776364
87	2.202508322
88	2.19557713
89	2.18623782
90	2.175304045
91	2.165441169
92	2.157889437
93	2.14597487
94	2.133052133
95	2.123856303
96	2.117824322
97	2.111022036
98	2.1019359
99	2.094450541
100	2.086907688
101	2.079589995
102	2.07160214
103	2.065976562
104	2.057652966
105	2.053810133
106	2.048213769
107	2.039793248
108	2.035206047
109	2.030080636
110	2.026776618
111	2.018750989
112	2.012358174
113	2.005117433
114	1.999589188
115	1.99647228
116	1.991138031
117	1.984110369
118	1.980050412
119	1.974194205
120	1.968939351
121	1.961058013
122	1.956026273
123	1.953915819
124	1.950242588
125	1.946127207
126	1.941400934
127	1.937174292
128	1.932075917
129	1.927324343
130	1.921653907
131	1.917540397
132	1.910550686
133	1.905777599
134	1.901515257
135	1.898944692
136	1.895639763
137	1.890972361
138	1.88763193
139	1.881036434
140	1.87658816
141	1.872955681
142	1.869607538
143	1.867010662
144	1.861006725
145	1.856589956
146	1.853792409
147	1.851208447
148	1.844141964
149	1.838738471
150	1.832508593
151	1.826285922
152	1.822105079
153	1.818885786
154	1.817267176
155	1.814287095
156	1.808736285
157	1.8036304
158	1.79889679
159	1.795297426
160	1.790826388
161	1.786942285
162	1.782143921
163	1.778465786
164	1.776632953
165	1.772633744
166	1.769306999
167	1.767440188
168	1.761238691
169	1.756335991
170	1.752709126
171	1.750649721
172	1.745325702
173	1.740601233
174	1.737841505
175	1.732951237
176	1.728892735
177	1.727677639
178	1.722514143
179	1.718215551
180	1.716129352
181	1.715692341
182	1.714010775
183	1.710982439
184	1.708668633
185	1.703844065
186	1.698570044
187	1.69504223
188	1.693652754
189	1.689890028
190	1.687565001
191	1.685126453
192	1.679691482
193	1.67692554
194	1.673452107
195	1.671795078
196	1.669924997
197	1.664863338
198	1.658678859
199	1.652421753
