iter	Passed	Remaining
0	2	2351
1	4	2139
2	6	2068
3	8	2026
4	10	1999
5	11	1960
6	13	1949
7	16	2075
8	18	2059
9	20	2032
10	22	2016
11	24	1997
12	26	1987
13	27	1960
14	29	1938
15	32	1980
16	33	1965
17	35	1953
18	37	1932
19	39	1918
20	40	1901
21	42	1887
22	44	1878
23	45	1865
24	48	1894
25	50	1881
26	52	1896
27	55	1910
28	56	1898
29	58	1884
30	59	1875
31	61	1868
32	64	1895
33	66	1882
34	68	1898
35	70	1894
36	72	1888
37	74	1880
38	75	1871
39	77	1863
40	80	1878
41	82	1871
42	83	1868
43	85	1860
44	87	1853
45	88	1844
46	90	1839
47	92	1831
48	93	1824
49	96	1836
50	98	1827
51	100	1826
52	101	1819
53	103	1815
54	105	1809
55	106	1803
56	108	1796
57	110	1789
58	112	1802
59	114	1797
60	116	1791
61	118	1786
62	119	1781
63	121	1776
64	123	1771
65	124	1765
66	126	1760
67	129	1771
68	131	1769
69	132	1764
70	134	1760
71	136	1753
72	137	1749
73	139	1746
74	141	1742
75	143	1748
76	145	1745
77	147	1740
78	148	1736
79	150	1733
80	152	1729
81	154	1724
82	155	1721
83	157	1717
84	160	1726
85	162	1724
86	164	1721
87	165	1718
88	167	1714
89	169	1711
90	171	1708
91	172	1702
92	174	1699
93	176	1704
94	178	1700
95	180	1697
96	181	1693
97	183	1689
98	185	1686
99	187	1683
100	188	1680
101	191	1682
102	193	1684
103	195	1680
104	196	1678
105	198	1675
106	200	1671
107	201	1667
108	203	1663
109	205	1659
110	206	1656
111	209	1659
112	211	1656
113	212	1653
114	214	1649
115	216	1646
116	217	1642
117	219	1640
118	221	1637
119	222	1634
120	225	1637
121	227	1635
122	228	1632
123	230	1629
124	232	1625
125	233	1621
126	235	1619
127	237	1617
128	239	1619
129	241	1618
130	243	1615
131	245	1612
132	246	1609
133	248	1607
134	250	1604
135	252	1601
136	253	1598
137	256	1602
138	258	1600
139	260	1597
140	261	1594
141	263	1591
142	265	1588
143	266	1585
144	268	1582
145	270	1579
146	272	1583
147	274	1580
148	276	1578
149	278	1577
150	280	1578
151	282	1575
152	284	1574
153	286	1571
154	288	1574
155	290	1571
156	292	1568
157	293	1565
158	295	1563
159	297	1560
160	298	1557
161	300	1554
162	302	1551
163	305	1555
164	306	1552
165	308	1549
166	310	1547
167	311	1544
168	314	1545
169	316	1544
170	317	1541
171	320	1544
172	322	1541
173	324	1539
174	325	1536
175	327	1533
176	329	1531
177	331	1529
178	332	1526
179	334	1523
180	337	1525
181	338	1522
182	340	1521
183	342	1518
184	344	1515
185	345	1512
186	347	1510
187	348	1507
188	350	1504
189	353	1507
190	355	1504
191	357	1502
192	358	1500
193	360	1498
194	362	1497
195	364	1494
196	365	1491
197	368	1494
198	370	1492
199	372	1490
200	374	1487
201	376	1485
202	377	1482
203	379	1481
204	381	1478
205	383	1476
206	385	1476
207	387	1474
208	389	1472
209	391	1471
210	392	1469
211	394	1466
212	396	1463
213	398	1462
214	400	1463
215	403	1462
216	405	1461
217	406	1459
218	408	1457
219	410	1455
220	412	1452
221	413	1450
222	416	1451
223	418	1451
224	421	1451
225	423	1451
226	425	1449
227	428	1451
228	431	1452
229	433	1452
230	437	1456
231	439	1456
232	442	1455
233	444	1456
234	447	1457
235	451	1461
236	453	1460
237	455	1458
238	457	1455
239	459	1454
240	460	1451
241	462	1448
242	465	1449
243	467	1448
244	469	1446
245	471	1443
246	472	1441
247	485	1472
248	490	1478
249	494	1482
250	499	1489
251	502	1491
252	507	1498
253	510	1497
254	513	1500
255	516	1501
256	519	1501
257	522	1503
258	524	1501
259	526	1499
260	530	1502
261	532	1500
262	534	1498
263	536	1497
264	538	1494
265	540	1490
266	541	1487
267	544	1487
268	546	1486
269	548	1483
270	550	1481
271	552	1479
272	554	1476
273	555	1473
274	557	1469
275	559	1467
276	562	1469
277	564	1467
278	567	1466
279	569	1463
280	570	1461
281	572	1457
282	574	1456
283	577	1455
284	579	1453
285	581	1450
286	583	1449
287	585	1446
288	586	1443
289	588	1440
290	590	1438
291	593	1437
292	595	1435
293	597	1433
294	598	1430
295	600	1427
296	601	1424
297	603	1421
298	605	1419
299	607	1417
300	610	1417
301	612	1414
302	614	1412
303	615	1409
304	617	1406
305	618	1403
306	621	1401
307	622	1399
308	625	1399
309	627	1397
310	629	1394
311	631	1392
312	633	1389
313	634	1387
314	636	1384
315	638	1382
316	641	1382
317	644	1381
318	645	1379
319	647	1376
320	649	1373
321	651	1371
322	653	1370
323	659	1376
324	662	1375
325	664	1374
326	668	1374
327	670	1373
328	683	1394
329	685	1392
330	687	1389
331	691	1390
332	693	1390
333	695	1387
334	698	1385
335	701	1387
336	704	1386
337	707	1385
338	709	1383
339	711	1381
340	714	1381
341	716	1379
342	719	1377
343	722	1378
344	724	1375
345	727	1374
346	730	1374
347	734	1375
348	739	1379
349	741	1377
350	743	1374
351	745	1372
352	748	1371
353	750	1369
354	754	1370
355	757	1370
356	762	1372
357	766	1375
358	774	1383
359	778	1384
360	782	1384
361	785	1383
362	787	1381
363	789	1379
364	792	1378
365	794	1376
366	796	1374
367	799	1373
368	803	1373
369	805	1371
370	808	1370
371	810	1367
372	812	1365
373	814	1363
374	817	1363
375	819	1360
376	822	1358
377	824	1356
378	827	1355
379	829	1353
380	833	1354
381	836	1352
382	839	1352
383	841	1350
384	844	1348
385	846	1345
386	849	1345
387	851	1343
388	853	1341
389	856	1339
390	858	1337
391	860	1334
392	862	1332
393	865	1331
394	867	1329
395	869	1326
396	872	1324
397	873	1321
398	875	1318
399	877	1315
400	878	1312
401	881	1311
402	883	1308
403	885	1305
404	886	1302
405	888	1299
406	890	1297
407	892	1294
408	893	1291
409	895	1288
410	899	1288
411	900	1285
412	902	1282
413	904	1279
414	906	1277
415	907	1274
416	909	1271
417	911	1268
418	913	1267
419	915	1264
420	917	1261
421	918	1258
422	920	1255
423	922	1252
424	923	1250
425	925	1247
426	927	1244
427	930	1243
428	931	1240
429	933	1237
430	934	1234
431	936	1231
432	938	1228
433	940	1226
434	941	1223
435	943	1220
436	946	1218
437	948	1217
438	950	1215
439	952	1212
440	954	1210
441	957	1208
442	959	1206
443	962	1205
444	964	1203
445	966	1201
446	968	1198
447	971	1196
448	973	1194
449	975	1192
450	978	1191
451	980	1189
452	982	1186
453	984	1184
454	986	1181
455	988	1179
456	990	1177
457	993	1176
458	996	1174
459	999	1172
460	1001	1170
461	1003	1168
462	1005	1166
463	1009	1166
464	1011	1163
465	1013	1161
466	1016	1159
467	1018	1157
468	1020	1155
469	1022	1153
470	1025	1151
471	1027	1149
472	1029	1147
473	1031	1145
474	1034	1143
475	1037	1141
476	1041	1141
477	1043	1139
478	1046	1138
479	1049	1136
480	1051	1134
481	1053	1132
482	1056	1131
483	1059	1129
484	1061	1127
485	1063	1124
486	1065	1122
487	1068	1120
488	1070	1118
489	1073	1117
490	1075	1115
491	1078	1113
492	1081	1112
493	1084	1110
494	1086	1108
495	1089	1106
496	1091	1104
497	1094	1102
498	1095	1100
499	1098	1098
500	1099	1095
501	1102	1093
502	1105	1092
503	1107	1089
504	1109	1087
505	1111	1084
506	1112	1082
507	1114	1079
508	1116	1077
509	1118	1074
510	1121	1073
511	1123	1070
512	1124	1067
513	1126	1065
514	1128	1062
515	1130	1060
516	1132	1057
517	1133	1054
518	1136	1052
519	1138	1050
520	1139	1048
521	1141	1045
522	1143	1042
523	1145	1040
524	1146	1037
525	1148	1034
526	1150	1032
527	1153	1031
528	1154	1028
